Year,Year Code,Sex,Sex Code,Race,Race Code,MSA,Count,Population,Crude Rate,latitude,longitude,min_dist,min_dist_squared
1999.0,1999.0,0,F,Black or African American,2054-5,"Cleveland, OH",957.0,230945,414.4,41.5051613,-81.6934446,34.997092576752394,1224.7964888257775
1999.0,1999.0,0,F,Black or African American,2054-5,"Colorado Springs, CO",47.0,18644,252.1,38.8339578,-104.8253485,496.4189467358244,246431.77067830527
1999.0,1999.0,0,F,Black or African American,2054-5,"Columbia, SC",352.0,113077,311.3,34.0007493,-81.0343313,26.073875998419744,679.8470095809693
1999.0,1999.0,0,F,Black or African American,2054-5,"Columbus, OH",317.0,111453,284.4,39.9622601,-83.0007065,112.87024431497626,12739.692051722432
1999.0,1999.0,0,F,Black or African American,2054-5,"Dallas, TX",1172.0,387557,302.4,32.7762719,-96.7968559,66.44101617928104,4414.408630935484
1999.0,1999.0,0,F,Black or African American,2054-5,"Dayton, OH",207.0,67616,306.1,39.7589478,-84.1916069,139.47089122163476,19452.129498157075
1999.0,1999.0,0,F,Black or African American,2054-5,"Des Moines, IA",41.0,9951,412.0,41.5910323,-93.6046655,100.61619610236404,10123.618918109378
1999.0,1999.0,0,F,Black or African American,2054-5,"Detroit, MI",2385.0,557055,428.1,42.3315509,-83.0466403,27.65249980692408,764.6607455719363
1999.0,1999.0,0,F,Black or African American,2054-5,"El Paso, TX",26.0,10667,243.7,31.7754152,-106.464634,389.3277594190576,151576.1042542636
1999.0,1999.0,0,F,Black or African American,2054-5,"Fresno, CA",68.0,23735,286.5,36.7295295,-119.70886126075588,122.81500552879679,15083.525583038387
1999.0,1999.0,0,F,Black or African American,2054-5,"Grand Rapids, MI",69.0,30234,228.2,42.9632405,-85.6678639,55.12852433526682,3039.1541953841056
1999.0,1999.0,0,F,Black or African American,2054-5,"Greensboro, NC",248.0,80412,308.4,36.0726355,-79.7919754,55.864498951912374,3120.8422431482186
1999.0,1999.0,0,F,Black or African American,2054-5,"Greenville, SC",236.0,65739,359.0,34.851354,-82.3984882,28.70385117578232,823.91107232146
1999.0,1999.0,0,F,Black or African American,2054-5,"Harrisburg, PA",106.0,25716,412.2,33.5923259,-86.2894222,90.17996748487641,8132.426535573367
1999.0,1999.0,0,F,Black or African American,2054-5,"Hartford, CT",206.0,63059,326.7,41.7655582,-72.69061276146614,41.479244242292374,1720.527702911745
1999.0,1999.0,0,F,Black or African American,2054-5,"Houston, TX",1327.0,426528,311.1,29.7589382,-95.3676974,78.07337317313463,6095.451598631537
1999.0,1999.0,0,F,Black or African American,2054-5,"Indianapolis, IN",423.0,120363,351.4,39.79140615,-86.19498293723234,142.494898034541,20304.795965874237
1999.0,1999.0,0,F,Black or African American,2054-5,"Jacksonville, FL",414.0,129581,319.5,30.3321838,-81.655651,117.67762781492388,13848.024088147746
